iter	Passed	Remaining
0	4	4478
1	9	4551
2	21	7124
3	24	6140
4	40	8065
5	42	7075
6	45	6384
7	47	5924
8	52	5755
9	54	5417
10	57	5153
11	60	5009
12	63	4788
13	66	4682
14	68	4498
15	70	4331
16	76	4394
17	78	4286
18	81	4225
19	84	4142
20	87	4081
21	92	4133
22	97	4152
23	99	4065
24	102	3990
25	107	4026
26	108	3923
27	111	3880
28	113	3794
29	115	3731
30	116	3631
31	124	3763
32	126	3720
33	128	3642
34	131	3622
35	133	3564
36	137	3572
37	139	3530
38	141	3492
39	143	3447
40	147	3457
41	148	3398
42	150	3345
43	152	3312
44	157	3333
45	159	3311
46	163	3309
47	165	3281
48	167	3249
49	169	3212
50	170	3177
51	172	3137
52	178	3188
53	180	3168
54	182	3140
55	188	3176
56	191	3175
57	193	3147
58	196	3130
59	198	3106
60	200	3086
61	202	3060
62	204	3035
63	207	3040
64	210	3023
65	212	3002
66	217	3024
67	220	3018
68	222	2999
69	224	2979
70	226	2958
71	229	2957
72	231	2945
73	234	2937
74	237	2933
75	240	2922
76	243	2916
77	246	2908
78	249	2914
79	252	2902
80	254	2884
81	255	2865
82	257	2846
83	261	2850
84	267	2879
85	269	2863
86	271	2847
87	273	2834
88	276	2826
89	276	2800
90	280	2797
91	282	2784
92	284	2770
93	285	2750
94	287	2734
95	289	2728
96	291	2717
97	295	2718
98	298	2712
99	300	2703
100	303	2700
101	307	2704
102	310	2707
103	312	2695
104	314	2682
105	318	2688
106	327	2731
107	334	2759
108	336	2746
109	339	2743
110	341	2732
111	343	2723
112	346	2722
113	349	2717
114	351	2705
115	354	2703
116	360	2723
117	364	2723
118	366	2716
119	372	2734
120	375	2724
121	377	2713
122	378	2701
123	381	2692
124	388	2717
125	390	2709
126	395	2720
127	397	2709
128	402	2719
129	404	2707
130	406	2695
131	409	2695
132	412	2687
133	415	2684
134	417	2676
135	420	2668
136	422	2664
137	426	2665
138	428	2655
139	431	2651
140	434	2649
141	437	2642
142	439	2632
143	443	2633
144	445	2627
145	449	2627
146	451	2618
147	453	2611
148	455	2603
149	457	2591
150	465	2618
151	468	2611
152	470	2606
153	473	2599
154	477	2603
155	480	2597
156	482	2592
157	484	2584
158	487	2579
159	490	2576
160	495	2582
161	499	2584
162	502	2580
163	508	2591
164	513	2599
165	516	2593
166	525	2622
167	529	2620
168	532	2617
169	541	2643
170	545	2645
171	550	2647
172	555	2657
173	557	2648
174	559	2639
175	561	2629
176	568	2643
177	570	2635
178	573	2631
179	576	2626
180	587	2656
181	591	2658
182	604	2700
183	608	2697
184	610	2689
185	614	2689
186	617	2683
187	620	2679
188	623	2675
189	631	2693
190	635	2690
191	637	2683
192	641	2684
193	644	2679
194	647	2672
195	649	2664
196	659	2689
197	662	2682
198	663	2670
199	666	2666
200	670	2664
201	676	2671
202	680	2673
203	683	2667
204	688	2669
205	692	2668
206	696	2666
207	698	2658
208	704	2667
209	707	2663
210	711	2661
211	714	2654
212	719	2659
213	726	2668
214	728	2660
215	733	2660
216	736	2655
217	738	2650
218	740	2642
219	744	2640
220	751	2650
221	754	2642
222	755	2633
223	758	2626
224	760	2618
225	763	2615
226	767	2612
227	769	2603
228	770	2594
229	772	2585
230	774	2576
231	776	2570
232	780	2570
233	782	2562
234	785	2556
235	788	2551
236	789	2540
237	791	2534
238	794	2531
239	797	2526
240	799	2518
241	801	2510
242	802	2500
243	804	2493
244	808	2491
245	812	2489
246	814	2483
247	817	2477
248	819	2471
249	821	2464
250	826	2465
251	828	2458
252	829	2450
253	831	2442
254	833	2435
255	836	2429
256	839	2425
257	841	2419
258	845	2419
259	850	2422
260	853	2415
261	854	2408
262	857	2401
263	859	2395
264	866	2404
265	869	2400
266	872	2395
267	880	2405
268	882	2398
269	884	2392
270	886	2384
271	887	2374
272	889	2367
273	890	2360
274	892	2353
275	900	2363
276	904	2360
277	909	2362
278	912	2358
279	914	2351
280	916	2344
281	918	2337
282	920	2331
283	921	2324
284	923	2316
285	929	2320
286	931	2313
287	932	2305
288	935	2301
289	937	2295
290	939	2289
291	943	2287
292	945	2282
293	947	2276
294	949	2270
295	951	2263
296	959	2271
297	962	2266
298	964	2260
299	966	2255
300	968	2248
301	973	2249
302	977	2248
303	979	2243
304	982	2237
305	987	2240
306	989	2233
307	991	2228
308	993	2222
309	995	2215
310	996	2208
311	998	2202
312	1001	2198
313	1004	2194
314	1007	2191
315	1009	2185
316	1011	2180
317	1013	2173
318	1020	2177
319	1022	2173
320	1024	2167
321	1027	2163
322	1029	2157
323	1032	2153
324	1034	2147
325	1036	2142
326	1038	2137
327	1040	2131
328	1042	2126
329	1044	2120
330	1047	2116
331	1051	2115
332	1053	2110
333	1055	2104
334	1059	2103
335	1061	2098
336	1063	2092
337	1065	2087
338	1069	2085
339	1076	2089
340	1078	2083
341	1080	2078
342	1082	2072
343	1083	2067
344	1085	2061
345	1089	2058
346	1092	2055
347	1094	2050
348	1096	2044
349	1098	2039
350	1100	2034
351	1109	2041
352	1115	2044
353	1117	2040
354	1120	2035
355	1122	2030
356	1124	2025
357	1125	2019
358	1127	2014
359	1130	2008
360	1132	2005
361	1137	2004
362	1139	1999
363	1140	1992
364	1141	1986
365	1143	1981
366	1145	1976
367	1151	1976
368	1153	1971
369	1154	1966
370	1156	1961
371	1158	1955
372	1160	1950
373	1166	1952
374	1168	1947
375	1170	1943
376	1173	1939
377	1175	1933
378	1179	1931
379	1181	1927
380	1184	1924
381	1187	1921
382	1189	1916
383	1191	1911
384	1197	1913
385	1200	1909
